,Title,Distributor,Runtime,Rating,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,Budget,Domestic_Gross
0,Avengers: Endgame,Walt Disney Studios Motion Pictures,181.0,PG-13,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,400000000,858373000
1,Avengers: Infinity War,Walt Disney Studios Motion Pictures,149.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000000,678815482
2,The Avengers,Walt Disney Studios Motion Pictures,143.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000000,623357910
3,The Avengers,Walt Disney Studios Motion Pictures,143.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000,23385416
4,Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,141.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365000000,459005868
5,Captain Marvel,Walt Disney Studios Motion Pictures,123.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000000,426829839
6,Captain America: Civil War,Walt Disney Studios Motion Pictures,147.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000000,408084349
7,Thor: Ragnarok,Walt Disney Studios Motion Pictures,130.0,PG-13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180000000,315058289
8,Iron Man 2,Paramount Pictures,124.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000000,312433331
9,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,136.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000000,259746958
10,Doctor Strange,Walt Disney Studios Motion Pictures,115.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165000000,232641920
11,Thor: The Dark World,Walt Disney Studios Motion Pictures,112.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,206362140
12,Thor,Paramount Pictures,115.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,181030624
13,Captain America: The First Avenger,Paramount Pictures,124.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000,176654505
14,The Incredible Hulk,Universal Pictures,112.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137500000,134806913
15,Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,133.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,532177324
16,Solo: A Star Wars Story,Walt Disney Studios Motion Pictures,135.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275000000,213767512
17,The Lion King,Walt Disney Studios Motion Pictures,118.0,PG,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,260000000,543638043
18,The Lion King,Walt Disney Studios Motion Pictures,118.0,PG,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79300000,421785283
19,The Lion King,Walt Disney Studios Motion Pictures,118.0,PG,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,260000000,543638043
20,The Lion King,Walt Disney Studios Motion Pictures,118.0,PG,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79300000,421785283
21,The Jungle Book,Walt Disney Studios Motion Pictures,111.0,PG,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,175000000,364001123
22,The Jungle Book,Walt Disney Studios Motion Pictures,111.0,PG,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,27000000,44342956
23,The Jungle Book,Walt Disney Studios Motion Pictures,111.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,175000000,364001123
24,The Jungle Book,Walt Disney Studios Motion Pictures,111.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27000000,44342956
25,Aladdin,Walt Disney Studios Motion Pictures,128.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182000000,355559216
26,Aladdin,Walt Disney Studios Motion Pictures,128.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28000000,217350219
27,Aladdin,Walt Disney Studios Motion Pictures,128.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,182000000,355559216
28,Aladdin,Walt Disney Studios Motion Pictures,128.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28000000,217350219
29,Alice in Wonderland,Walt Disney Studios Motion Pictures,108.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,334191110
30,Alice in Wonderland,Walt Disney Studios Motion Pictures,108.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,334191110
31,Maleficent,Walt Disney Studios Motion Pictures,97.0,PG,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180000000,241407328
32,Oz the Great and Powerful,Walt Disney Studios Motion Pictures,130.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,234770996
33,Cinderella,Walt Disney Studios Motion Pictures,105.0,PG,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,95000000,201151353
34,Cinderella,Walt Disney Studios Motion Pictures,105.0,PG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95000000,201151353
35,Dumbo,Walt Disney Studios Motion Pictures,112.0,PG,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,170000000,114766307
36,Dumbo,Walt Disney Studios Motion Pictures,112.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170000000,114766307
37,Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,119.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,185000000,113929605
38,Alice Through the Looking Glass,Walt Disney Studios Motion Pictures,113.0,PG,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170000000,77042381
39,Mulan,Walt Disney Studios Motion Pictures,115.0,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,0
40,Mulan,Walt Disney Studios Motion Pictures,115.0,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90000000,120620254
41,Mulan,Walt Disney Studios Motion Pictures,115.0,PG-13,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200000000,0
42,Mulan,Walt Disney Studios Motion Pictures,115.0,PG-13,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90000000,120620254
43,Fantastic Beasts and Where to Find Them,Warner Bros.,132.0,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180000000,234037575
44,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,134.0,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,200000000,159555901
45,Deadpool,Twentieth Century Fox,108.0,R,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58000000,363070709
46,Deadpool 2,Twentieth Century Fox,119.0,R,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110000000,324591735
47,Logan,Twentieth Century Fox,137.0,R,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127000000,226277068
48,The Wolverine,Twentieth Century Fox,126.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000000,132556852
49,The Dark Knight Rises,Warner Bros.,164.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000000,448139099
50,Batman v Superman: Dawn of Justice,Warner Bros.,152.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263000000,330360194
51,The Lego Batman Movie,Warner Bros.,104.0,PG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,175750384
52,Aquaman,Warner Bros.,143.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000000,335061807
53,Suicide Squad,Warner Bros.,123.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000000,325100054
54,Man of Steel,Warner Bros.,143.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225000000,291045518
56,Shazam!,Warner Bros.,132.0,PG-13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85000000,140371656
57,Wonder Woman 1984,Warner Bros.,151.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,46530051
58,Skyfall,ony Pictures Entertainment (SPE),143.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200000000,304360277
59,Spectre,ony Pictures Entertainment (SPE),148.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300000000,200074175
60,Quantum of Solace,ony Pictures Entertainment (SPE),106.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,230000000,169368427
61,Casino Royale,ony Pictures Entertainment (SPE),144.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102000000,167365000
62,Die Another Day,Metro-Goldwyn-Mayer (MGM),133.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142000000,160942139
63,Tomorrow Never Dies,Metro-Goldwyn-Mayer (MGM),119.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110000000,125304276
70,Jurassic World: Fallen Kingdom,Universal Pictures,128.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000000,417719760
71,The Lost World: Jurassic Park,Universal Pictures,129.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000,229086679
72,Jurassic Park III,Universal Pictures,92.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93000000,181166115
73,The Hobbit: An Unexpected Journey,Warner Bros.,169.0,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,303003568
74,The Hobbit: The Desolation of Smaug,Warner Bros.,161.0,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000000,258241522
75,The Hobbit: The Battle of the Five Armies,Warner Bros.,144.0,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000000,255119788
76,Furious 7,Universal Pictures,137.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,190000000,353007020
77,The Fate of the Furious,Universal Pictures,136.0,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250000000,225764765
78,Fast Five,Universal Pictures,130.0,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,125000000,210031325
80,Fast & Furious,Universal Pictures,107.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85000000,155064265
81,The Fast and the Furious,Universal Pictures,106.0,PG-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,38000000,144512310
82,2 Fast 2 Furious,Universal Pictures,107.0,PG-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,76000000,127120058
83,The Fast and the Furious: Tokyo Drift,Universal Pictures,104.0,PG-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,85000000,62615510
84,Transformers: Revenge of the Fallen,DreamWorks,149.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000000,402111870
85,Transformers: Dark of the Moon,DreamWorks,154.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000000,352390543
86,Transformers,DreamWorks,144.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151000000,319246193
87,Transformers: Age of Extinction,Paramount Pictures,165.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210000000,245439076
88,Transformers: The Last Knight,Paramount Pictures,154.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217000000,130168683
89,Bumblebee,Paramount Pictures,114.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000000,127195589
90,Pirates of the Caribbean: On Stranger Tides,Walt Disney Studios Motion Pictures,137.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379000000,241071802
91,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,129.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000000,172558876
92,The Hunger Games: Catching Fire,Lionsgat,146.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130000000,424668047
93,The Hunger Games,Lionsgat,142.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,408010692
94,Shrek 2,DreamWorks Distribution,93.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70000000,441226247
95,Shrek the Third,DreamWorks,93.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160000000,322719944
96,Shrek,DreamWorks Distribution,90.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,267655011
97,Shrek Forever After,DreamWorks,93.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165000000,238736787
98,Puss in Boots,DreamWorks,90.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130000000,149260504
99,Star Trek,Paramount Pictures,127.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000,257730019
100,Star Trek Into Darkness,Paramount Pictures,132.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000000,228778661
101,Star Trek Beyond,Paramount Pictures,122.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000000,158848340
